user,topic,score,num_questions,attempted_at
synth_user_000,operating_systems,0.5119,5,2026-05-04 05:15:07.266642+00:00
synth_user_000,operating_systems,0.5119,20,2026-05-04 05:15:07.429035+00:00
synth_user_000,networks,0.7316,20,2026-05-04 05:15:07.590153+00:00
synth_user_000,linear_algebra,0.6268,5,2026-05-04 05:15:07.740780+00:00
synth_user_000,statistics,0.4731,20,2026-05-04 05:15:07.908955+00:00
synth_user_000,linear_algebra,0.5998,10,2026-05-04 05:15:08.080770+00:00
synth_user_000,statistics,0.4738,20,2026-05-04 05:15:08.322403+00:00
synth_user_000,machine_learning,0.4629,10,2026-05-04 05:15:08.473063+00:00
synth_user_000,calculus,0.5531,5,2026-05-04 05:15:08.639508+00:00
synth_user_000,machine_learning,0.2892,10,2026-05-04 05:15:08.789408+00:00
synth_user_000,operating_systems,0.333,15,2026-05-04 05:15:08.946808+00:00
synth_user_000,linear_algebra,0.4672,15,2026-05-04 05:15:09.110244+00:00
synth_user_000,databases,0.4238,10,2026-05-04 05:15:09.336763+00:00
synth_user_000,linear_algebra,0.5724,10,2026-05-04 05:15:09.486818+00:00
synth_user_000,machine_learning,0.4098,10,2026-05-04 05:15:09.634995+00:00
synth_user_000,networks,0.3727,5,2026-05-04 05:15:09.818211+00:00
synth_user_000,databases,0.7212,10,2026-05-04 05:15:09.969527+00:00
synth_user_000,calculus,0.497,20,2026-05-04 05:15:10.115931+00:00
synth_user_000,databases,0.5534,20,2026-05-04 05:15:10.267486+00:00
synth_user_000,object_oriented_programming,0.3797,15,2026-05-04 05:15:10.516767+00:00
synth_user_000,calculus,0.4588,10,2026-05-04 05:15:10.680020+00:00
synth_user_001,statistics,0.6341,10,2026-05-04 05:16:22.340660+00:00
synth_user_001,machine_learning,0.4379,5,2026-05-04 05:16:22.466627+00:00
synth_user_001,machine_learning,0.7324,15,2026-05-04 05:16:22.599519+00:00
synth_user_001,statistics,0.5188,15,2026-05-04 05:16:22.729825+00:00
synth_user_001,machine_learning,0.3832,10,2026-05-04 05:16:22.880987+00:00
synth_user_001,linear_algebra,0.6242,10,2026-05-04 05:16:23.027683+00:00
synth_user_001,object_oriented_programming,0.3944,20,2026-05-04 05:16:23.184041+00:00
synth_user_001,object_oriented_programming,0.566,5,2026-05-04 05:16:23.407612+00:00
synth_user_001,networks,0.2975,5,2026-05-04 05:16:23.558769+00:00
synth_user_001,operating_systems,0.3713,5,2026-05-04 05:16:23.708275+00:00
synth_user_001,operating_systems,0.5543,10,2026-05-04 05:16:23.840969+00:00
synth_user_001,databases,0.6244,10,2026-05-04 05:16:23.974241+00:00
synth_user_001,databases,0.5563,10,2026-05-04 05:16:24.124682+00:00
synth_user_001,databases,0.5219,15,2026-05-04 05:16:24.258397+00:00
synth_user_001,networks,0.4966,20,2026-05-04 05:16:24.488781+00:00
synth_user_001,networks,0.3553,20,2026-05-04 05:16:24.649815+00:00
synth_user_001,machine_learning,0.4237,20,2026-05-04 05:16:24.805087+00:00
synth_user_001,machine_learning,0.4548,10,2026-05-04 05:16:24.946223+00:00
