user,topic,grade,days_since_last,response_time_ms,reviewed_at
synth_user_000,calculus,3,2.152,12635,2026-04-29 21:06:35.723907+00:00
synth_user_000,calculus,4,3.771,4082,2026-05-03 15:36:18.863791+00:00
synth_user_000,calculus,0,1.724,12932,2026-03-23 16:02:32.145542+00:00
synth_user_000,calculus,0,1.284,13009,2026-03-24 22:51:55.150337+00:00
synth_user_000,calculus,2,0.485,10391,2026-03-25 10:29:47.857816+00:00
synth_user_000,calculus,4,1.07,6701,2026-03-26 12:10:36.508102+00:00
synth_user_000,calculus,4,1.455,6425,2026-03-27 23:06:07.575992+00:00
synth_user_000,calculus,0,5.286,5241,2026-04-02 05:57:44.159505+00:00
synth_user_000,calculus,1,3.017,7928,2026-04-05 06:21:47.029772+00:00
synth_user_000,calculus,0,1.166,4874,2026-04-06 10:21:06.280118+00:00
synth_user_000,calculus,0,0.631,9251,2026-04-07 01:29:21.190151+00:00
synth_user_000,calculus,3,0.642,10985,2026-04-07 16:53:19.812288+00:00
synth_user_000,calculus,3,1.557,1416,2026-04-09 06:14:51.026754+00:00
synth_user_000,calculus,3,2.494,3956,2026-04-11 18:05:58.150316+00:00
synth_user_000,calculus,1,7.14,8679,2026-04-18 21:27:34.515872+00:00
synth_user_000,calculus,1,2.245,4540,2026-04-21 03:20:40.120680+00:00
synth_user_000,calculus,1,1.297,10060,2026-04-22 10:27:50.816570+00:00
synth_user_000,calculus,5,0.51,1989,2026-04-22 22:41:54.098028+00:00
synth_user_000,calculus,0,1.311,11649,2026-04-24 06:09:30.661062+00:00
synth_user_000,calculus,3,0.519,9169,2026-04-24 18:36:40.509515+00:00
synth_user_000,calculus,1,1.125,2376,2026-04-25 21:36:11.699189+00:00
synth_user_000,calculus,0,0.833,2327,2026-04-26 17:35:59.344162+00:00
synth_user_000,linear_algebra,4,1.559,8701,2026-03-27 13:01:28.770044+00:00
synth_user_000,linear_algebra,0,5.483,14289,2026-04-02 00:37:06.533236+00:00
synth_user_000,linear_algebra,0,2.663,9337,2026-04-04 16:31:15.193315+00:00
synth_user_000,linear_algebra,1,1.777,8505,2026-04-06 11:09:45.382046+00:00
synth_user_000,linear_algebra,1,0.452,5538,2026-04-06 22:00:18.960605+00:00
synth_user_000,linear_algebra,4,0.446,12491,2026-04-07 08:42:14.432450+00:00
synth_user_000,linear_algebra,4,0.859,2603,2026-04-08 05:19:52.581236+00:00
synth_user_000,linear_algebra,0,2.196,10438,2026-04-10 10:02:10.915151+00:00
synth_user_000,linear_algebra,4,0.939,3795,2026-04-11 08:34:22.334041+00:00
synth_user_000,linear_algebra,1,2.561,8979,2026-04-13 22:02:49.873398+00:00
synth_user_000,linear_algebra,2,1.016,9575,2026-04-14 22:25:23.903197+00:00
synth_user_000,linear_algebra,2,1.287,4250,2026-04-16 05:18:45.421503+00:00
synth_user_000,linear_algebra,3,2.339,5062,2026-04-18 13:26:54.669918+00:00
synth_user_000,linear_algebra,3,7.718,9855,2026-04-26 06:41:25.860276+00:00
synth_user_000,linear_algebra,4,1.608,8151,2026-03-27 14:11:33.786120+00:00
synth_user_000,linear_algebra,4,5.047,1493,2026-04-01 15:19:45.270877+00:00
synth_user_000,linear_algebra,5,7.959,3616,2026-04-09 14:21:06.273869+00:00
